"id","name","category","location","description","contact","source","website","instagram"
"1","Soul n Body","Health & Beauty","London","Halal skincare prophetic oils hijama therapy","Email via website / Instagram DM","Instagram Website","",""
"2","Nurify Skin","Health & Beauty","London","Handmade halal skincare prophetic oils","Instagram DM","Instagram Etsy","",""
"3","Sunnah Skincare UK","Health & Beauty","East London","Prophetic skincare black seed products","Instagram DM","Instagram","",""
"4","Glow by Saff","Health & Beauty","London","Natural serums Muslim-owned skincare","Instagram DM","Instagram TikTok","",""
"5","Sakeenah Beauty","Health & Beauty","London","Halal skincare gentle cleansers","Email via Instagram bio","Instagram","",""
"6","Sampure Minerals","Health & Beauty","London","Halal-certified mineral makeup","Customer service email","Website Instagram","",""
"7","Amara Halal Cosmetics","Health & Beauty","London stockists","Halal makeup wudu-friendly","Email via website","Website Instagram","",""
"8","Haya Cosmetics UK","Health & Beauty","London","Halal lipsticks modest beauty","Instagram DM","Instagram TikTok","",""
"9","D’Amani Spa & Salon","Health & Beauty","London","Women-only hijama massage halal spa","Phone number on website","Instagram Website","",""
"10","Ayma Therapeutics","Health & Beauty","London","Women-only massage","Instagram DM","Instagram","",""
"11","Hijabista Hair","Health & Beauty","London","Women-only halal hair salon","Phone number on Instagram","Instagram","",""
"12","Beauty Kulture","Health & Beauty","East London","Hijab-friendly haircuts","Phone number on website","Instagram TikTok","",""
"13","Sisters Salon","Health & Beauty","London","Halal haircare hijab-friendly","Instagram DM","Instagram","",""
"14","The Cupping Clinic (Female Practitioner)","Health & Beauty","London","Hijama therapy","WhatsApp number on Instagram","Instagram","",""
"15","Sunnah Remedies London","Health & Beauty","London","Prophetic skincare oils","Etsy messaging","Etsy","",""
"16","Halal Glow Co.","Health & Beauty","London","Halal skincare vegan serums","Instagram DM","TikTok Shop Instagram","",""
"17","Modest Glow UK","Health & Beauty","London","Muslim-owned beauty brand","TikTok DM","TikTok","",""
"18","Hijama by Sister Amina","Health & Beauty","West London","Female hijama therapist","WhatsApp number on Instagram","Instagram","",""
"19","Sunnah Essentials London","Health & Beauty","London","Prophetic oils skincare","Etsy messaging","Etsy","",""
"20","Noorish London","Health & Beauty","London","Women-only wellness sanctuary offering hijama facials massage and holistic therapy","Email via website","Noorish London official website","",""
"21","Noshi’s Beauty Hub & Academy","Health & Beauty","London N17","Beauty treatments and training academy hijab-friendly salon","Phone number on listing","MuslimConnect directory","",""
"22","HALO – The Beauty Retreat","Health & Beauty","London N8","Hijab-friendly beauty salon private women-only environment","Phone number on listing","MuslimConnect directory","",""
"23","The Beauty Lodge Day Spa","Health & Beauty","London N22","Women-only spa offering facials massage and beauty treatments","Email/phone via website","MuslimConnect directory","",""
"24","Naz Hair & Beauty Salon","Health & Beauty","London E17","Hair beauty threading waxing Muslim-owned","Phone number on listing","MuslimConnect directory","",""
"25","Shanze Beauty Parlour","Services","London E17","Hair beauty and bridal services Muslim-run","Phone number on listing","MuslimConnect directory","",""
"26","Ayesha’s Hair & Beauty","Health & Beauty","Walthamstow London","Hair beauty waxing facials women-only","Phone number on listing","MuslimConnect directory","",""
"27","Yasemin K Therapies & Beauty","Health & Beauty","London E4","Massage facials holistic therapies Muslim-friendly","Phone number on listing","MuslimConnect directory","",""
"28","Jennaj Hair & Beauty (Home Salon)","Health & Beauty","London","Private home-based women-only salon","Phone number on listing","MuslimConnect directory","",""
"29","Beautylicious by Naz (Ilford)","Health & Beauty","Ilford (Greater London)","Beauty facials waxing hair Muslim-owned","Phone number on listing","MuslimConnect directory","",""
"30","Muslim London Directory (General Source)","Services","London","Directory listing Muslim-owned beauty and wellbeing services","Website contact","MuslimLondon.com","",""
"31","Hijama Healing London","Health & Beauty","Canary Wharf, London","Woman‑only hijama clinic founded by Farida Yasmin; holistic wellness focus","Email via website","HijamaHealingLondon.co.uk","",""
"32","London Hijama Clinic (Female Practitioner)","Health & Beauty","Forest Gate, London","Female hijama therapist available at Upton Lane branch","0208 470 7999","HijamaInLondon.com","",""
"33","Chrisp Street Cupping Clinic (Female Therapist)","Health & Beauty","Poplar, London","Clinic offering hijama with female practitioners available","07467 029665","ChrispStreetCupping.co.uk","",""
"34","Hijama Sisters London","Services","London (multiple areas)","Women‑only hijama, mobile and clinic‑based services","WhatsApp via listing","Google Business Listing","",""
"35","Healing Hands Hijama (Female Practitioner)","Health & Beauty","East London","Wet cupping, dry cupping, women‑only sessions","Phone via listing","Google Business Listing","",""
"36","Hijama by Sister Zainab","Health & Beauty","North London","Private women‑only hijama therapist","WhatsApp via listing","Google Business Listing","",""
"37","Sunnah Cupping for Sisters","Health & Beauty","South London","Wet cupping for women only; home‑based clinic","Phone via listing","Google Business Listing","",""
"38","Sisters Cupping Therapy London","Health & Beauty","West London","Women‑only hijama, lymphatic detox, back pain therapy","Phone via listing","Google Business Listing","",""
"39","Hijama Care for Women","Health & Beauty","East London","Professional hijama for women only; certified female therapist","Phone via listing","Google Business Listing","",""
"40","Al‑Shifa Hijama for Ladies","Health & Beauty","Ilford / East London","Wet cupping, migraine therapy, fertility support for women","Phone via listing","Google Business Listing","",""
"41","Husn","Health & Beauty","Shopify store; strong sales + active community","Minimalist halal-friendly skincare; Muslim-women-owned","","Shopify store; strong sales + active community","",""
"42","Ayuura Beauty","Health & Beauty","Shopify store; high engagement","Muslimah-owned skincare; gentle, barrier-friendly formulas","","Shopify store; high engagement","",""
"43","Sunnah Glow Co","Health & Beauty","Shopify store; repeat customers","Halal-friendly skincare & body oils","","Shopify store; repeat customers","",""
"44","Nura Beauty UK","Health & Beauty","Shopify store; UK-based","Muslim-women-owned skincare; serums & cleansers","","Shopify store; UK-based","",""
"45","Safa Organics","Health & Beauty","Shopify store; ships worldwide","Organic body oils & natural skincare","","Shopify store; ships worldwide","",""
"46","Afiya Beauty","Health & Beauty","Shopify store; Muslimah-owned","Natural haircare & scalp oils for textured hair","","Shopify store; Muslimah-owned","",""
"47","Sakeenah Self-Care","Health & Beauty","Shopify store; strong sales indicators","Wellness brand; candles, oils, bath products","","Shopify store; strong sales indicators","",""
"48","Noor Aromas","Health & Beauty","Shopify store; UK shipping","Aromatherapy, home scents & wellness","","Shopify store; UK shipping","",""
"49","Hijabi Haircare Co","Health & Beauty","Shopify store; active restocks","Haircare for hijabi women; scalp care","","Shopify store; active restocks","",""
"50","Sunnah Scents UK","Health & Beauty","Shopify store; repeat buyers","Fragrance oils & attars; Muslim-women-owned","","Shopify store; repeat buyers","",""
"51","Barakah Botanicals","Health & Beauty","Shopify store; Muslimah-owned","Herbal wellness blends & natural remedies","","Shopify store; Muslimah-owned","",""
"52","Nourish & Niyyah","Health & Beauty","Shopify store; ships to UK","Self-care brand; candles, bath salts, oils","","Shopify store; ships to UK","",""
"53","The Modest Glow","Health & Beauty","Shopify store; active social media","Skincare for acne-prone & sensitive skin","","Shopify store; active social media","",""
"54","Sisters Remedy Co","Health & Beauty","Shopify store; UK-based","Herbal teas & wellness blends","","Shopify store; UK-based","",""
"55","Halal Glow Cosmetics","Health & Beauty","Shopify store; Muslimah-owned","Halal-friendly makeup & lip products","","Shopify store; Muslimah-owned","",""
"56","Sunnah Soapery","Health & Beauty","Shopify store; ships worldwide","Handmade soaps, body butters, natural skincare","","Shopify store; ships worldwide","",""
"57","Niyyah Naturals","Health & Beauty","Shopify store; Muslimah-owned","Organic oils, hair masks, body care","","Shopify store; Muslimah-owned","",""
"58","Amani Wellness UK","Health & Beauty","Shopify store; UK shipping","Wellness brand; diffusers, oils, aromatherapy","","Shopify store; UK shipping","",""
"59","Sacred Skin Co","Health & Beauty","Shopify store; active customer base","Minimalist skincare; Muslim-women-owned","","Shopify store; active customer base","",""
"60","The Hijabi Glow Shop","Health & Beauty","Shopify store; ships to London","Hijabi-friendly haircare & scalp treatments","","Shopify store; ships to London","",""
"61","Aab Collection","Fashion & Clothing","London","Modest fashion abayas jilbabs hijabs; London pop-ups and showroom","","Excel Import","","https://www.instagram.com/aabcollection"
"62","Inayah","Fashion & Clothing","London","Luxury modest womenswear abayas dresses; London showroom","","Excel Import","","https://www.instagram.com/inayah.london"
"63","Modest Muse London","Fashion & Clothing","London","Modest dresses hijabs occasion wear for Muslim women","","Excel Import","","https://www.instagram.com/modestmuse_london"
"64","Hijab House London","Fashion & Clothing","London","Hijabs modest basics for hijabi women","","Excel Import","","https://www.instagram.com/hijabhouselondon"
"65","Zahra Apparel","Fashion & Clothing","London","Handmade modest clothing abayas","","Excel Import","","https://www.instagram.com/zahraapparel"
"66","Halal Travel Guide","Travel","Online","Muslim-women-led travel company offering halal-friendly tours & retreats","","Excel Import","","https://www.instagram.com/halaltravelguide"
"67","Muslim Travel Girl","Travel","Online","Muslimah-led travel planning, halal travel tips, London-based","","Excel Import","","https://www.instagram.com/muslimtravelgirl"
"68","Sisters Getaway UK","Travel","Online","Muslim-women-only group trips, retreats & UK adventures","","Excel Import","","https://www.instagram.com/sistersgetawayuk"
"69","Sisters Explore London","Travel","Online","Muslim-women-led London walking tours & cultural experiences","","Excel Import","","https://www.instagram.com/sistersexplorelondon"
"70","Hijabi Explorers UK","Travel","Online","Muslim-women-led adventure & travel group for hijabis","","Excel Import","","https://www.instagram.com/hijabiexplorersuk"
